,Open,High,Low,Close,Volume,Close time
0,10.0,11.212,9.626,9.976,18739.63,2020-09-13 23:59:59.999
1,9.97,11.735,9.352,10.407,43412.5,2020-09-20 23:59:59.999
2,10.311,10.51,7.621,9.585,120776.07,2020-09-27 23:59:59.999
3,9.626,10.043,7.776,9.597,184789.73,2020-10-04 23:59:59.999
4,9.707,10.637,8.948,10.188,324742.39,2020-10-11 23:59:59.999
5,10.208,10.617,8.764,9.089,204511.2,2020-10-18 23:59:59.999
6,9.107,10.906,8.927,9.977,277809.79,2020-10-25 23:59:59.999
7,9.949,10.465,7.841,8.769,187648.37,2020-11-01 23:59:59.999
8,8.798,11.134,7.7,9.952,261680.29,2020-11-08 23:59:59.999
9,9.956,11.817,9.195,10.963,380777.22,2020-11-15 23:59:59.999
10,10.885,49.0,10.713,31.849,2174518.06,2020-11-22 23:59:59.999
11,31.64,96.86,18.267,31.414,9224563.72,2020-11-29 23:59:59.999
12,31.373,41.389,21.689,31.405,5174015.66,2020-12-06 23:59:59.999
13,31.49,31.697,15.001,18.013,7525232.3,2020-12-13 23:59:59.999
14,17.968,29.0,12.007,20.492,8918826.64,2020-12-20 23:59:59.999
15,20.477,21.681,2.233,3.513,81651504.84,2020-12-27 23:59:59.999
16,3.511,4.296,1.075,1.955,116091686.05,2021-01-03 23:59:59.999
17,1.947,5.489,1.64,3.1,84740312.2,2021-01-10 23:59:59.999
18,3.107,3.129,1.344,1.866,50244527.97,2021-01-17 23:59:59.999
19,1.871,2.686,1.315,1.775,36538073.61,2021-01-24 23:59:59.999
20,1.775,5.976,1.35,5.21,93019806.75,2021-01-31 23:59:59.999
21,5.21,10.563,2.322,3.249,104313205.19,2021-02-07 23:59:59.999
22,3.245,6.46,3.157,5.575,43254662.56,2021-02-14 23:59:59.999
23,5.586,5.76,3.424,4.461,26271756.95,2021-02-21 23:59:59.999
24,4.464,5.804,2.0,2.718,43110027.83,2021-02-28 23:59:59.999
25,2.72,3.472,2.686,3.188,14812220.64,2021-03-07 23:59:59.999
26,3.2,3.43,2.712,2.861,6889200.0,2021-03-14 23:59:59.999
27,2.859,3.85,2.696,3.558,14591128.83,2021-03-21 23:59:59.999
28,3.554,4.352,2.824,3.8,16825106.25,2021-03-28 23:59:59.999
29,3.803,4.961,3.57,4.82,15011842.99,2021-04-04 23:59:59.999
30,4.813,22.0,4.59,18.453,62617796.08,2021-04-11 23:59:59.999
31,18.453,31.4,13.0,18.81,27289177.29,2021-04-18 23:59:59.999
32,18.836,21.2,7.938,10.901,24246734.53,2021-04-25 23:59:59.999
33,10.922,22.999,10.501,20.759,20787750.47,2021-05-02 23:59:59.999
34,20.727,24.673,15.653,19.462,14679958.75,2021-05-09 23:59:59.999
35,19.534,21.509,11.9,17.084,19938092.58,2021-05-16 23:59:59.999
36,17.065,21.641,3.0,4.03,98176973.35,2021-05-23 23:59:59.999
37,4.039,6.208,3.782,4.824,20809049.96,2021-05-30 23:59:59.999
38,4.815,6.38,4.608,5.162,15022167.08,2021-06-06 23:59:59.999
39,5.162,5.437,3.633,4.572,13068902.35,2021-06-13 23:59:59.999
40,4.572,5.0,2.91,3.581,10854161.98,2021-06-20 23:59:59.999
41,3.599,3.633,1.436,2.415,64094901.46,2021-06-27 23:59:59.999
42,2.417,3.2,2.232,2.766,31282891.81,2021-07-04 23:59:59.999
43,2.761,2.774,1.974,2.294,20466712.22,2021-07-11 23:59:59.999
44,2.299,2.45,1.735,1.936,18917728.86,2021-07-18 23:59:59.999
45,1.931,2.1307,1.452,2.0431,20601477.11,2021-07-25 23:59:59.999
46,2.0431,3.3258,2.0322,2.8352,19940195.8,2021-08-01 23:59:59.999
47,2.8426,3.923,2.568,3.3343,8611689.34,2021-08-08 23:59:59.999
48,3.3397,10.7102,3.1422,9.5,17842433.32,2021-08-15 23:59:59.999
49,9.5,10.35,5.7243,8.0409,11413699.83,2021-08-22 23:59:59.999
50,8.0536,9.1565,5.5043,6.7259,8445602.54,2021-08-29 23:59:59.999
51,6.7256,9.202,5.9779,8.7974,6049857.79,2021-09-05 23:59:59.999
52,8.8072,10.17,3.7577,6.128,12900555.01,2021-09-12 23:59:59.999
53,6.121,6.2624,4.9323,5.1592,4131238.83,2021-09-19 23:59:59.999
54,5.1686,5.1812,3.13,3.969,10566468.45,2021-09-26 23:59:59.999
55,3.963,5.29,3.4426,4.952,5309572.02,2021-10-03 23:59:59.999
56,4.9467,6.8768,4.46,5.7025,5882639.24,2021-10-10 23:59:59.999
57,5.7025,6.265,4.2331,5.06,5820226.95,2021-10-17 23:59:59.999
58,5.06,5.8189,4.4925,4.8484,4212448.66,2021-10-24 23:59:59.999
59,4.8186,5.65,3.1644,4.8023,6509527.57,2021-10-31 23:59:59.999
60,4.8148,6.14,4.1957,5.6222,5550063.57,2021-11-07 23:59:59.999
61,5.6301,7.1047,4.4361,5.1381,7019313.56,2021-11-14 23:59:59.999
62,5.1366,5.41,3.6339,3.9798,5747020.29,2021-11-21 23:59:59.999
63,3.9818,4.103,2.5894,3.0902,6687759.03,2021-11-28 23:59:59.999
64,3.0899,3.4626,1.4,2.2434,13929059.97,2021-12-05 23:59:59.999
65,2.2439,2.7514,2.0257,2.3668,10877625.32,2021-12-12 23:59:59.999
66,2.3668,2.4101,1.9134,2.33,5134840.09,2021-12-19 23:59:59.999
67,2.3282,3.4724,2.2636,2.8183,9087876.72,2021-12-26 23:59:59.999
68,2.8162,3.0524,2.0201,2.3409,5798920.8,2022-01-02 23:59:59.999
69,2.3355,2.3361,1.355,1.6268,10180858.6,2022-01-09 23:59:59.999
70,1.6262,1.893,1.3209,1.7549,7610887.45,2022-01-16 23:59:59.999
71,1.7589,1.765,0.6973,1.0333,14941649.9,2022-01-23 23:59:59.999
72,1.0337,1.1767,0.7215,0.8988,19204399.04,2022-01-30 23:59:59.999
73,0.8998,1.2074,0.8,1.1917,12124359.81,2022-02-06 23:59:59.999
74,1.19,2.1753,1.1401,1.561,33849263.06,2022-02-13 23:59:59.999
75,1.568,1.8411,1.2877,1.39,28008827.31,2022-02-20 23:59:59.999
76,1.3986,1.5213,0.685,1.0655,69041459.36,2022-02-27 23:59:59.999
77,1.0642,1.4172,0.9222,1.0545,36261591.26,2022-03-06 23:59:59.999
78,1.0561,1.59,0.963,1.1753,38543061.0,2022-03-13 23:59:59.999
79,1.1768,1.4286,1.0916,1.3576,18692607.84,2022-03-20 23:59:59.999
80,1.3558,1.56,1.2945,1.5569,9859754.94,2022-03-27 23:59:59.999
81,1.5568,1.8158,1.2585,1.5024,12277381.32,2022-04-03 23:59:59.999
82,1.5026,1.5026,1.1394,1.1647,8797643.28,2022-04-10 23:59:59.999
83,1.1665,1.3173,0.8881,1.14,17727226.11,2022-04-17 23:59:59.999
84,1.14,1.2446,0.9336,0.9485,14486957.83,2022-04-24 23:59:59.999
85,0.946,0.9575,0.5405,0.6728,25824793.4,2022-05-01 23:59:59.999
86,0.6716,0.7937,0.5551,0.5785,18227089.31,2022-05-08 23:59:59.999
87,0.5776,0.605,0.1208,0.2416,254470532.55,2022-05-15 23:59:59.999
88,0.2418,0.2419,0.1724,0.2089,130604470.65,2022-05-22 23:59:59.999
89,0.2085,0.2168,0.155,0.1696,41711912.93,2022-05-29 23:59:59.999
90,0.1699,0.2038,0.166,0.1745,30106007.63,2022-06-05 23:59:59.999
0,0.1741,0.1908,0.1328,0.1357,31679467.07,2022-06-12 23:59:59.999000
0,0.1355,0.1412,0.0975,0.1215,58716444.67,2022-06-19 23:59:59.999000
1,0.1213,0.1597,0.1137,0.1396,43237993.4,2022-06-26 23:59:59.999000
2,0.1395,0.1466,0.0932,0.1057,54170286.78,2022-07-03 23:59:59.999000
3,0.1058,0.135,0.0993,0.1073,45400934.37,2022-07-10 23:59:59.999000
4,0.1074,0.1334,0.0891,0.1193,80525864.94,2022-07-17 23:59:59.999000
