,Open,High,Low,Close,Volume,Close time
0,1.015,1.11,0.775,0.8817,2224482.4,2019-09-29 23:59:59.999
1,0.8743,0.992,0.8405,0.8641,1491414.61,2019-10-06 23:59:59.999
2,0.863,0.9591,0.8503,0.9031,1575459.64,2019-10-13 23:59:59.999
3,0.8993,0.9384,0.8533,0.8793,723746.17,2019-10-20 23:59:59.999
4,0.8796,0.92,0.7499,0.8603,1837517.66,2019-10-27 23:59:59.999
5,0.8622,0.93,0.8225,0.8666,2195002.94,2019-11-03 23:59:59.999
6,0.8658,1.4306,0.8617,1.2237,12779766.58,2019-11-10 23:59:59.999
7,1.2248,1.2913,1.096,1.1552,6136224.81,2019-11-17 23:59:59.999
8,1.1558,1.4291,1.07,1.3099,14040041.51,2019-11-24 23:59:59.999
9,1.31,1.3598,1.1441,1.2527,12253185.49,2019-12-01 23:59:59.999
10,1.2514,1.6161,1.2,1.5998,15135354.27,2019-12-08 23:59:59.999
11,1.6,1.8433,1.3914,1.6715,31548230.15,2019-12-15 23:59:59.999
12,1.6708,1.7673,1.4272,1.464,27524709.76,2019-12-22 23:59:59.999
13,1.464,1.58,1.2798,1.3114,14135304.46,2019-12-29 23:59:59.999
14,1.3091,1.3964,1.2216,1.2545,13768775.77,2020-01-05 23:59:59.999
15,1.2547,1.395,1.2517,1.3072,14742091.61,2020-01-12 23:59:59.999
16,1.3071,1.55,1.256,1.4267,18934200.74,2020-01-19 23:59:59.999
17,1.423,1.6444,1.4068,1.5256,14679933.71,2020-01-26 23:59:59.999
18,1.5256,2.0094,1.4854,1.929,17257308.64,2020-02-02 23:59:59.999
19,1.9261,2.749,1.87,2.6423,32434598.43,2020-02-09 23:59:59.999
20,2.6421,3.6089,2.4614,3.2499,55952093.53,2020-02-16 23:59:59.999
21,3.25,3.96,2.7528,3.52,60917342.13,2020-02-23 23:59:59.999
22,3.5201,3.529,2.47,2.6135,86938076.72,2020-03-01 23:59:59.999
23,2.6137,3.3269,2.5505,2.5894,71658461.09,2020-03-08 23:59:59.999
24,2.5897,2.75,0.95,1.5452,143095403.1,2020-03-15 23:59:59.999
25,1.5446,1.8802,1.12,1.4725,116526843.64,2020-03-22 23:59:59.999
26,1.4721,1.7917,1.4432,1.4684,57702651.11,2020-03-29 23:59:59.999
27,1.4681,1.8,1.4619,1.665,46284339.74,2020-04-05 23:59:59.999
28,1.6633,2.18,1.6578,2.0042,100767491.01,2020-04-12 23:59:59.999
29,2.0024,2.3762,1.8387,2.2421,62539971.15,2020-04-19 23:59:59.999
30,2.2423,2.898,2.0581,2.7637,80365343.16,2020-04-26 23:59:59.999
31,2.7684,3.0418,2.55,2.736,66239349.93,2020-05-03 23:59:59.999
32,2.7361,2.9655,2.2131,2.5536,55188067.51,2020-05-10 23:59:59.999
33,2.5547,2.6921,2.2625,2.6234,39896214.94,2020-05-17 23:59:59.999
34,2.6234,2.8975,2.57,2.6433,31481246.68,2020-05-24 23:59:59.999
35,2.6404,2.9689,2.623,2.806,27011428.98,2020-05-31 23:59:59.999
36,2.806,3.1317,2.7,2.885,31213393.26,2020-06-07 23:59:59.999
37,2.885,2.9621,2.5017,2.5883,20412939.94,2020-06-14 23:59:59.999
38,2.5863,2.783,2.3902,2.5895,22368381.49,2020-06-21 23:59:59.999
39,2.5898,2.86,2.25,2.3679,31667165.02,2020-06-28 23:59:59.999
40,2.3701,2.4463,2.208,2.2844,18074642.5,2020-07-05 23:59:59.999
41,2.2864,2.8435,2.2656,2.8221,45405470.65,2020-07-12 23:59:59.999
42,2.824,3.33,2.65,2.9825,120698470.87,2020-07-19 23:59:59.999
43,2.9865,3.2329,2.65,2.9859,55188497.71,2020-07-26 23:59:59.999
44,2.9839,3.14,2.6326,2.893,60310543.11,2020-08-02 23:59:59.999
45,2.8935,3.7829,2.84,3.6924,93134759.91,2020-08-09 23:59:59.999
46,3.6915,4.4936,3.422,4.2401,129987850.76,2020-08-16 23:59:59.999
47,4.2374,4.256,3.2571,3.5188,77192960.58,2020-08-23 23:59:59.999
48,3.5173,3.8051,3.0955,3.3861,54420208.36,2020-08-30 23:59:59.999
49,3.3872,3.5195,2.31,2.5495,69110954.12,2020-09-06 23:59:59.999
50,2.5484,2.7434,2.3556,2.6249,35957876.68,2020-09-13 23:59:59.999
51,2.6248,2.6997,2.1593,2.2196,27295400.55,2020-09-20 23:59:59.999
52,2.2188,2.2788,1.9117,2.1769,41199209.35,2020-09-27 23:59:59.999
53,2.1768,2.3654,2.0129,2.1113,24463218.44,2020-10-04 23:59:59.999
54,2.1113,2.3177,1.9946,2.2512,25862813.65,2020-10-11 23:59:59.999
55,2.2507,2.455,2.1513,2.227,23499336.04,2020-10-18 23:59:59.999
56,2.2264,2.27,2.0366,2.1649,24337772.63,2020-10-25 23:59:59.999
57,2.1664,2.1813,1.7941,1.9955,25816465.92,2020-11-01 23:59:59.999
58,1.9943,2.222,1.7812,2.0869,51822123.31,2020-11-08 23:59:59.999
59,2.0894,2.2,1.9793,2.0149,28414097.89,2020-11-15 23:59:59.999
60,2.015,2.44,1.8266,2.2809,63807285.89,2020-11-22 23:59:59.999
61,2.2792,2.9647,2.0782,2.3586,93762416.55,2020-11-29 23:59:59.999
62,2.3622,2.5565,2.1712,2.3237,35236537.53,2020-12-06 23:59:59.999
63,2.3253,2.3632,1.97,2.232,24704012.33,2020-12-13 23:59:59.999
64,2.232,2.437,2.0201,2.2674,29774628.5,2020-12-20 23:59:59.999
65,2.2679,2.3134,1.5708,2.004,38857904.6,2020-12-27 23:59:59.999
66,2.0038,2.25,1.9362,2.1345,43598659.07,2021-01-03 23:59:59.999
67,2.1346,2.9466,2.0024,2.7621,93959849.93,2021-01-10 23:59:59.999
68,2.7626,3.1838,2.101,2.9714,105412053.0,2021-01-17 23:59:59.999
69,2.9716,3.399,2.3,3.0449,106568815.72,2021-01-24 23:59:59.999
70,3.0431,3.1832,2.6268,2.8444,61797964.17,2021-01-31 23:59:59.999
71,2.844,3.5261,2.755,3.305,84681157.41,2021-02-07 23:59:59.999
72,3.3074,5.6471,3.1859,4.8626,134495554.95,2021-02-14 23:59:59.999
73,4.8631,5.151,3.837,4.6759,99421415.45,2021-02-21 23:59:59.999
74,4.675,4.6856,2.9013,3.4257,116572726.21,2021-02-28 23:59:59.999
75,3.4256,4.2069,3.3889,4.1949,59117765.05,2021-03-07 23:59:59.999
76,4.1915,4.5898,3.8,3.9248,48399684.68,2021-03-14 23:59:59.999
77,3.9302,4.61,3.686,4.1708,50104374.96,2021-03-21 23:59:59.999
78,4.1708,4.5271,3.75,4.2299,48119191.12,2021-03-28 23:59:59.999
79,4.229,5.41,4.1804,5.1348,65334533.18,2021-04-04 23:59:59.999
80,5.1323,7.21,4.9658,6.4516,107927609.05,2021-04-11 23:59:59.999
81,6.4518,7.6745,5.1471,6.176,91668086.69,2021-04-18 23:59:59.999
82,6.176,6.4224,4.0,4.4519,80959395.29,2021-04-25 23:59:59.999
83,4.4524,5.9,4.3837,5.6037,46990521.09,2021-05-02 23:59:59.999
84,5.6048,8.42,5.4012,7.0954,120639130.12,2021-05-09 23:59:59.999
85,7.0961,7.3415,5.3446,5.6737,90900174.26,2021-05-16 23:59:59.999
86,5.6737,5.9881,2.4296,2.9071,145309878.84,2021-05-23 23:59:59.999
87,2.9066,4.1731,2.8308,3.2857,75001414.8,2021-05-30 23:59:59.999
88,3.2842,3.99,3.144,3.8324,48179911.28,2021-06-06 23:59:59.999
89,3.8372,4.1387,2.92,3.3136,56880844.19,2021-06-13 23:59:59.999
90,3.314,3.439,2.8755,3.077,33668987.82,2021-06-20 23:59:59.999
91,3.0757,3.0996,2.1175,2.6224,43885023.32,2021-06-27 23:59:59.999
92,2.6261,3.1108,2.5625,3.0408,23995970.8,2021-07-04 23:59:59.999
93,3.0392,3.0392,2.5779,2.8441,24051768.88,2021-07-11 23:59:59.999
94,2.848,2.9515,2.3694,2.4291,28247639.43,2021-07-18 23:59:59.999
95,2.4276,2.9064,2.0989,2.8919,32576465.02,2021-07-25 23:59:59.999
96,2.8894,3.1808,2.7363,2.9505,36669732.1,2021-08-01 23:59:59.999
97,2.949,3.5361,2.8862,3.178,39754429.05,2021-08-08 23:59:59.999
98,3.1784,3.762,3.1033,3.7355,59065837.61,2021-08-15 23:59:59.999
99,3.7351,3.8944,3.2298,3.7977,50988617.81,2021-08-22 23:59:59.999
100,3.7985,6.143,3.7736,5.89,195012480.58,2021-08-29 23:59:59.999
101,5.886,6.0,5.002,5.569,71139539.6,2021-09-05 23:59:59.999
102,5.564,7.237,3.884,7.026,204318090.77,2021-09-12 23:59:59.999
103,7.026,8.031,5.916,6.519,177292172.72,2021-09-19 23:59:59.999
104,6.517,7.5,4.477,6.509,183831565.5,2021-09-26 23:59:59.999
105,6.509,8.946,5.341,8.711,130021698.92,2021-10-03 23:59:59.999
106,8.711,9.171,6.929,6.971,120178494.66,2021-10-10 23:59:59.999
107,6.966,7.415,6.349,6.622,58602074.1,2021-10-17 23:59:59.999
108,6.623,7.146,6.275,6.472,41319340.1,2021-10-24 23:59:59.999
109,6.476,7.173,5.55,6.352,63411310.7,2021-10-31 23:59:59.999
110,6.349,6.86,5.71,6.368,41827295.6,2021-11-07 23:59:59.999
111,6.369,6.623,5.271,5.827,44286245.4,2021-11-14 23:59:59.999
112,5.824,5.966,4.641,5.217,43842825.5,2021-11-21 23:59:59.999
113,5.222,5.234,4.263,4.653,28833664.1,2021-11-28 23:59:59.999
114,4.646,5.93,3.226,3.871,73935372.09,2021-12-05 23:59:59.999
115,3.874,6.19,3.66,4.51,125786690.1,2021-12-12 23:59:59.999
116,4.512,4.701,3.907,4.139,57430780.4,2021-12-19 23:59:59.999
117,4.138,4.913,3.867,4.864,47775404.9,2021-12-26 23:59:59.999
118,4.865,5.17,4.179,4.654,40816602.6,2022-01-02 23:59:59.999
119,4.654,5.365,3.859,4.217,69747738.9,2022-01-09 23:59:59.999
120,4.215,4.461,3.782,4.29,26732191.4,2022-01-16 23:59:59.999
121,4.288,4.313,2.697,3.079,37288955.62,2022-01-23 23:59:59.999
122,3.079,3.505,2.539,3.27,33102596.86,2022-01-30 23:59:59.999
123,3.27,4.08,3.098,3.922,51383498.6,2022-02-06 23:59:59.999
124,3.924,4.606,3.813,3.847,55258285.1,2022-02-13 23:59:59.999
125,3.847,4.192,3.218,3.27,24513857.2,2022-02-20 23:59:59.999
126,3.27,3.49,2.56,3.114,58025301.1,2022-02-27 23:59:59.999
127,3.114,3.668,2.96,2.973,26050743.8,2022-03-06 23:59:59.999
128,2.973,3.242,2.839,2.905,20362035.6,2022-03-13 23:59:59.999
129,2.906,3.433,2.857,3.335,22814916.4,2022-03-20 23:59:59.999
130,3.334,3.866,3.193,3.862,27249767.9,2022-03-27 23:59:59.999
131,3.861,4.133,3.54,4.042,34632640.8,2022-04-03 23:59:59.999
132,4.041,4.042,3.071,3.124,22605523.8,2022-04-10 23:59:59.999
133,3.124,3.295,2.943,3.084,18056598.4,2022-04-17 23:59:59.999
134,3.083,3.272,2.927,2.96,20257987.5,2022-04-24 23:59:59.999
135,2.96,2.973,2.429,2.571,24348934.92,2022-05-01 23:59:59.999
136,2.571,2.88,2.39,2.558,40065093.84,2022-05-08 23:59:59.999
137,2.559,2.663,1.451,1.918,72233435.27,2022-05-15 23:59:59.999
138,1.918,2.011,1.612,1.975,31553754.3,2022-05-22 23:59:59.999
139,1.975,2.261,1.757,1.985,64191229.8,2022-05-29 23:59:59.999
140,1.985,2.208,1.842,1.955,31117531.4,2022-06-05 23:59:59.999
