,Open,High,Low,Close,Volume,Close time
0,4.0,9.482,1.159,2.465,22273164.469,2020-10-11 23:59:59.999
1,2.465,4.888,2.213,3.534,16946202.461,2020-10-18 23:59:59.999
2,3.543,4.1,2.751,3.607,10021905.806,2020-10-25 23:59:59.999
3,3.608,4.05,2.556,2.655,7225425.554,2020-11-01 23:59:59.999
4,2.664,3.275,2.058,2.936,6495574.078,2020-11-08 23:59:59.999
5,2.935,4.417,2.656,4.212,5504654.711,2020-11-15 23:59:59.999
6,4.215,5.39,3.62,3.762,7396437.007,2020-11-22 23:59:59.999
7,3.762,4.2,2.47,3.045,8803056.264,2020-11-29 23:59:59.999
8,3.037,3.5,2.9,2.996,4266203.634,2020-12-06 23:59:59.999
9,2.999,4.786,2.934,3.505,10060873.99,2020-12-13 23:59:59.999
10,3.505,4.628,3.27,4.198,6552430.862,2020-12-20 23:59:59.999
11,4.199,4.642,3.333,3.468,3998789.221,2020-12-27 23:59:59.999
12,3.47,3.939,3.193,3.527,2839841.477,2021-01-03 23:59:59.999
13,3.528,5.49,3.35,4.985,5341156.731,2021-01-10 23:59:59.999
14,4.984,5.873,3.601,4.109,11765422.304,2021-01-17 23:59:59.999
15,4.108,9.89,3.945,9.287,7425193.661,2021-01-24 23:59:59.999
16,9.285,12.9,6.677,10.276,11800407.19,2021-01-31 23:59:59.999
17,10.287,29.55,9.488,26.612,8869958.916,2021-02-07 23:59:59.999
18,26.603,56.6,24.837,49.843,8841950.923,2021-02-14 23:59:59.999
19,49.737,102.942,38.662,83.229,8842972.179,2021-02-21 23:59:59.999
20,83.202,83.5,37.5,46.02,8932936.953,2021-02-28 23:59:59.999
21,46.0,56.999,36.0,39.663,6346615.636,2021-03-07 23:59:59.999
22,39.737,65.4,36.889,45.891,8116641.318,2021-03-14 23:59:59.999
23,45.991,51.853,40.0,43.322,3744516.123,2021-03-21 23:59:59.999
24,43.35,57.929,35.2,48.878,5047831.953,2021-03-28 23:59:59.999
25,48.871,70.919,47.0,57.812,5326639.068,2021-04-04 23:59:59.999
26,57.841,68.0,48.943,66.003,2872419.424,2021-04-11 23:59:59.999
27,65.934,98.306,60.38,73.2,6540667.824,2021-04-18 23:59:59.999
28,73.326,91.0,55.961,63.188,5314916.178,2021-04-25 23:59:59.999
29,63.194,135.0,62.47,123.855,9453848.796,2021-05-02 23:59:59.999
30,123.722,145.0,104.464,139.086,6011951.951,2021-05-09 23:59:59.999
