,Open,High,Low,Close,Volume,Close time
0,6.107,8.5,4.632,5.119,28967959.3,2021-09-26 23:59:59.999
1,5.113,8.986,5.001,7.687,35500002.5,2021-10-03 23:59:59.999
2,7.697,8.449,6.465,6.55,20987763.4,2021-10-10 23:59:59.999
3,6.545,7.345,5.858,6.316,10902418.0,2021-10-17 23:59:59.999
4,6.322,7.2,5.956,6.183,6582995.9,2021-10-24 23:59:59.999
5,6.187,8.39,5.2,6.788,18423603.7,2021-10-31 23:59:59.999
6,6.787,8.18,6.272,6.837,15734035.1,2021-11-07 23:59:59.999
7,6.837,6.899,5.6,6.315,7611592.5,2021-11-14 23:59:59.999
8,6.315,11.5,5.942,8.341,55516569.1,2021-11-21 23:59:59.999
9,8.351,9.365,6.601,7.755,34294083.1,2021-11-28 23:59:59.999
10,7.755,9.901,5.082,6.18,30532728.9,2021-12-05 23:59:59.999
11,6.167,6.45,5.25,5.649,15845842.2,2021-12-12 23:59:59.999
12,5.65,7.959,4.638,5.055,22828639.5,2021-12-19 23:59:59.999
13,5.051,6.349,4.85,6.169,17511565.6,2021-12-26 23:59:59.999
14,6.178,6.2,5.085,5.605,10894696.4,2022-01-02 23:59:59.999
15,5.602,5.611,4.242,4.825,14199072.8,2022-01-09 23:59:59.999
16,4.824,5.48,4.227,4.607,15489459.7,2022-01-16 23:59:59.999
17,4.61,4.613,2.325,2.66,18004237.4,2022-01-23 23:59:59.999
18,2.66,3.2,2.168,2.891,24682764.1,2022-01-30 23:59:59.999
19,2.891,4.07,2.685,3.972,25744446.9,2022-02-06 23:59:59.999
20,3.975,4.095,3.003,3.038,14480146.8,2022-02-13 23:59:59.999
21,3.039,3.721,2.585,2.638,17592854.1,2022-02-20 23:59:59.999
22,2.638,3.451,2.27,3.136,20948348.0,2022-02-27 23:59:59.999
23,3.14,3.583,2.596,2.629,11639252.4,2022-03-06 23:59:59.999
24,2.626,2.855,2.434,2.449,10335035.5,2022-03-13 23:59:59.999
25,2.448,2.78,2.336,2.601,10894544.8,2022-03-20 23:59:59.999
26,2.601,3.048,2.53,2.936,8995059.6,2022-03-27 23:59:59.999
27,2.936,3.584,2.8,3.192,29178023.1,2022-04-03 23:59:59.999
28,3.193,3.196,2.397,2.41,12795253.9,2022-04-10 23:59:59.999
29,2.405,2.416,2.113,2.119,7639956.5,2022-04-17 23:59:59.999
30,2.118,2.196,1.868,1.885,11194078.5,2022-04-24 23:59:59.999
31,1.883,2.102,1.418,1.487,32047379.9,2022-05-01 23:59:59.999
32,1.489,1.52,1.072,1.111,23063693.9,2022-05-08 23:59:59.999
33,1.114,1.133,0.479,0.698,37377440.1,2022-05-15 23:59:59.999
34,0.698,1.114,0.515,0.783,83365932.0,2022-05-22 23:59:59.999
35,0.783,0.84,0.546,0.614,39174800.7,2022-05-29 23:59:59.999
36,0.616,0.805,0.575,0.595,32797059.6,2022-06-05 23:59:59.999
0,0.593,0.644,0.448,0.449,27426639.0,2022-06-12 23:59:59.999000
