,Open,High,Low,Close,Volume,Close time
0,58.5,59.1,53.31,57.21,24755.77298,2019-03-24 23:59:59.999
1,57.06,59.52,52.72,58.65,41837.22562,2019-03-31 23:59:59.999
2,58.78,77.0,58.13,74.37,117555.09362,2019-04-07 23:59:59.999
3,74.21,76.07,63.32,69.6,84937.96481,2019-04-14 23:59:59.999
4,69.6,71.75,65.4,67.91,34707.40415,2019-04-21 23:59:59.999
5,68.11,70.97,59.17,60.6,46518.25328,2019-04-28 23:59:59.999
6,60.42,64.27,57.05,59.59,35932.17416,2019-05-05 23:59:59.999
7,59.73,65.7,55.5,60.67,60985.56912,2019-05-12 23:59:59.999
8,60.67,82.18,59.82,77.6,113242.23232,2019-05-19 23:59:59.999
9,77.57,77.89,67.5,75.32,68773.37088,2019-05-26 23:59:59.999
10,75.1,98.36,74.25,88.86,202258.03357,2019-06-02 23:59:59.999
11,88.87,89.27,75.39,77.35,129172.38963,2019-06-09 23:59:59.999
12,77.2,95.98,76.14,93.51,147836.45639,2019-06-16 23:59:59.999
13,93.35,117.56,93.35,110.25,301281.9434,2019-06-23 23:59:59.999
14,110.34,125.79,97.61,103.3,222179.25146,2019-06-30 23:59:59.999
15,103.44,107.25,96.05,106.45,92665.74872,2019-07-07 23:59:59.999
16,106.21,106.98,79.54,82.29,123705.46081,2019-07-14 23:59:59.999
17,82.29,82.45,63.76,75.37,163501.83354,2019-07-21 23:59:59.999
18,75.54,76.51,65.47,68.72,57059.00103,2019-07-28 23:59:59.999
19,68.78,69.79,63.15,65.73,74483.29427,2019-08-04 23:59:59.999
20,65.73,67.99,55.73,59.91,115261.46217,2019-08-11 23:59:59.999
21,60.01,60.08,47.52,52.62,79420.51912,2019-08-18 23:59:59.999
22,52.68,54.48,48.16,50.15,48851.46802,2019-08-25 23:59:59.999
23,50.26,53.59,43.73,45.21,50040.45497,2019-09-01 23:59:59.999
24,45.23,48.66,44.21,48.28,64620.46821,2019-09-08 23:59:59.999
25,48.28,48.31,43.48,46.63,56821.4002,2019-09-15 23:59:59.999
26,46.63,53.36,45.66,46.13,95530.75887,2019-09-22 23:59:59.999
