,Open,High,Low,Close,Volume,Close time
0,6.525,8.9,6.5,7.214,231691.361,2020-07-12 23:59:59.999
1,7.23,8.5,6.91,8.139,223779.436,2020-07-19 23:59:59.999
2,8.14,9.664,7.9,9.387,211323.012,2020-07-26 23:59:59.999
3,9.332,9.483,7.891,8.511,240236.089,2020-08-02 23:59:59.999
4,8.511,11.489,8.3,10.498,251055.007,2020-08-09 23:59:59.999
5,10.498,11.269,9.528,10.01,315577.957,2020-08-16 23:59:59.999
6,10.01,10.819,8.673,9.348,302742.636,2020-08-23 23:59:59.999
7,9.307,10.5,8.14,8.721,208426.529,2020-08-30 23:59:59.999
8,8.723,9.022,5.558,6.403,325559.095,2020-09-06 23:59:59.999
9,6.389,6.69,5.7,6.285,170884.151,2020-09-13 23:59:59.999
10,6.284,6.517,5.716,5.827,131802.008,2020-09-20 23:59:59.999
11,5.827,6.23,5.223,5.718,142082.735,2020-09-27 23:59:59.999
12,5.734,5.958,5.1,5.34,112877.416,2020-10-04 23:59:59.999
13,5.36,7.981,5.062,6.869,395236.861,2020-10-11 23:59:59.999
14,6.86,7.085,5.782,5.991,465005.601,2020-10-18 23:59:59.999
15,5.991,6.0,5.421,5.671,172365.244,2020-10-25 23:59:59.999
16,5.693,5.949,5.201,5.584,204336.398,2020-11-01 23:59:59.999
17,5.584,6.46,5.101,6.186,313667.978,2020-11-08 23:59:59.999
18,6.176,6.8,5.65,6.321,278759.667,2020-11-15 23:59:59.999
19,6.352,9.713,5.998,9.125,908759.64,2020-11-22 23:59:59.999
20,9.063,19.605,8.699,13.89,4336978.92,2020-11-29 23:59:59.999
21,13.89,16.8,11.247,12.286,2504059.99,2020-12-06 23:59:59.999
22,12.317,12.708,8.932,10.998,1766432.292,2020-12-13 23:59:59.999
23,10.998,13.6,10.634,11.41,1976582.851,2020-12-20 23:59:59.999
24,11.41,13.297,8.3,12.581,1930068.09,2020-12-27 23:59:59.999
25,12.582,14.713,10.272,13.53,2588200.555,2021-01-03 23:59:59.999
26,13.531,23.888,11.602,21.859,3651513.098,2021-01-10 23:59:59.999
27,21.882,31.0,17.211,28.158,8648732.773,2021-01-17 23:59:59.999
28,28.1,34.172,24.69,27.234,2551564.177,2021-01-24 23:59:59.999
29,27.261,39.3,26.877,35.327,3999858.838,2021-01-31 23:59:59.999
30,35.401,39.0,31.549,33.637,1476795.824,2021-02-07 23:59:59.999
31,33.622,58.133,33.33,53.0,2171017.45,2021-02-14 23:59:59.999
32,53.112,86.0,43.34,71.616,2577157.405,2021-02-21 23:59:59.999
33,71.642,71.892,39.114,41.904,2212697.554,2021-02-28 23:59:59.999
34,41.931,50.95,40.128,50.371,1161071.669,2021-03-07 23:59:59.999
35,50.366,58.831,45.089,53.103,1581849.836,2021-03-14 23:59:59.999
36,53.093,64.749,46.546,57.868,1667257.864,2021-03-21 23:59:59.999
37,57.798,59.488,43.153,50.745,1252018.818,2021-03-28 23:59:59.999
38,50.758,65.999,48.0,65.894,1964960.426,2021-04-04 23:59:59.999
39,65.9,80.1,61.001,75.344,1951180.206,2021-04-11 23:59:59.999
40,75.332,139.5,73.684,109.738,2979197.558,2021-04-18 23:59:59.999
41,109.738,132.0,84.55,110.27,3403009.8244,2021-04-25 23:59:59.999
42,110.27,138.98,110.18,120.46,1838850.2045,2021-05-02 23:59:59.999
