,Open,High,Low,Close,Volume,Close time
0,0.265,0.277,0.2372,0.2402,3657282.0,2019-03-03 23:59:59.999
1,0.2403,0.274,0.2171,0.2696,16849905.27,2019-03-10 23:59:59.999
2,0.2696,0.2834,0.2477,0.2639,17365220.31,2019-03-17 23:59:59.999
3,0.2639,0.2987,0.251,0.2908,11729713.73,2019-03-24 23:59:59.999
4,0.2908,0.3277,0.2694,0.3245,18868646.55,2019-03-31 23:59:59.999
5,0.324,0.3895,0.3159,0.3537,20335195.98,2019-04-07 23:59:59.999
6,0.354,0.3686,0.3003,0.3226,10156193.76,2019-04-14 23:59:59.999
7,0.3224,0.3369,0.3011,0.3146,8011550.92,2019-04-21 23:59:59.999
8,0.3126,0.3152,0.26,0.2791,7212549.15,2019-04-28 23:59:59.999
9,0.2789,0.2836,0.2615,0.2671,3764162.98,2019-05-05 23:59:59.999
10,0.2665,0.3066,0.2527,0.2737,7508113.99,2019-05-12 23:59:59.999
11,0.2705,0.3785,0.2705,0.3366,20176798.69,2019-05-19 23:59:59.999
12,0.3351,0.341,0.2918,0.3247,13436196.34,2019-05-26 23:59:59.999
13,0.3247,0.372,0.3102,0.3405,16311119.93,2019-06-02 23:59:59.999
14,0.3407,0.375,0.2928,0.3132,15997422.49,2019-06-09 23:59:59.999
15,0.3124,0.3688,0.3091,0.3473,12778122.82,2019-06-16 23:59:59.999
16,0.3471,0.3593,0.3261,0.3441,13817788.24,2019-06-23 23:59:59.999
17,0.3441,0.358,0.2934,0.2989,18724939.14,2019-06-30 23:59:59.999
18,0.2993,0.3154,0.2814,0.2986,8920194.24,2019-07-07 23:59:59.999
19,0.2986,0.313,0.2001,0.22,10278234.2,2019-07-14 23:59:59.999
20,0.22,0.279,0.2034,0.2436,15301548.19,2019-07-21 23:59:59.999
21,0.2436,0.2605,0.2149,0.2277,5249838.41,2019-07-28 23:59:59.999
22,0.2281,0.2301,0.2092,0.2115,5563662.19,2019-08-04 23:59:59.999
23,0.2115,0.2178,0.1813,0.1937,9228604.43,2019-08-11 23:59:59.999
24,0.1938,0.1944,0.1593,0.1752,6649391.95,2019-08-18 23:59:59.999
25,0.1746,0.2044,0.1614,0.1793,14620738.7,2019-08-25 23:59:59.999
26,0.1792,0.1833,0.1496,0.1608,7014583.74,2019-09-01 23:59:59.999
27,0.1608,0.1737,0.1536,0.1617,4419226.49,2019-09-08 23:59:59.999
28,0.1617,0.1687,0.1553,0.1649,4313803.74,2019-09-15 23:59:59.999
29,0.1643,0.27,0.1603,0.2361,30342274.8,2019-09-22 23:59:59.999
30,0.2361,0.2382,0.175,0.2012,30201804.94,2019-09-29 23:59:59.999
31,0.2013,0.2288,0.1894,0.2114,19413938.77,2019-10-06 23:59:59.999
32,0.2115,0.2977,0.2096,0.2968,26002554.05,2019-10-13 23:59:59.999
33,0.2976,0.349,0.2726,0.331,44633035.53,2019-10-20 23:59:59.999
34,0.331,0.3316,0.2804,0.2879,28728551.7,2019-10-27 23:59:59.999
35,0.288,0.3102,0.2604,0.294,18237094.81,2019-11-03 23:59:59.999
36,0.294,0.3194,0.282,0.3074,15634775.7,2019-11-10 23:59:59.999
37,0.3065,0.3125,0.2725,0.2761,9702797.94,2019-11-17 23:59:59.999
38,0.2762,0.2778,0.2183,0.2351,14488414.05,2019-11-24 23:59:59.999
39,0.2354,0.2809,0.215,0.2594,11381498.41,2019-12-01 23:59:59.999
40,0.2596,0.2602,0.2232,0.2367,6906385.89,2019-12-08 23:59:59.999
41,0.2371,0.2387,0.2017,0.2072,4256640.94,2019-12-15 23:59:59.999
42,0.2072,0.2099,0.1714,0.1915,7981256.74,2019-12-22 23:59:59.999
43,0.1918,0.1992,0.1795,0.197,5063595.77,2019-12-29 23:59:59.999
44,0.1969,0.1978,0.1735,0.1861,5761674.59,2020-01-05 23:59:59.999
45,0.1866,0.2283,0.1855,0.2182,21862711.04,2020-01-12 23:59:59.999
46,0.2183,0.2611,0.2082,0.2312,19935460.53,2020-01-19 23:59:59.999
47,0.2323,0.245,0.2202,0.2305,5131101.3,2020-01-26 23:59:59.999
48,0.2312,0.2463,0.2239,0.2395,10219207.86,2020-02-02 23:59:59.999
49,0.2393,0.298,0.2317,0.2959,29000355.77,2020-02-09 23:59:59.999
50,0.2965,0.3579,0.2731,0.2984,43821110.46,2020-02-16 23:59:59.999
51,0.2984,0.3144,0.2596,0.2878,19665229.38,2020-02-23 23:59:59.999
52,0.2884,0.2915,0.2174,0.23,14105449.05,2020-03-01 23:59:59.999
53,0.2291,0.2877,0.2236,0.2249,13679854.29,2020-03-08 23:59:59.999
54,0.2241,0.2491,0.1105,0.1584,36624368.94,2020-03-15 23:59:59.999
55,0.1571,0.1774,0.125,0.1405,17308367.79,2020-03-22 23:59:59.999
56,0.1397,0.1616,0.1379,0.1441,13948551.1,2020-03-29 23:59:59.999
57,0.1439,0.1604,0.1437,0.1536,8537863.65,2020-04-05 23:59:59.999
58,0.1536,0.1921,0.1532,0.1682,24850642.69,2020-04-12 23:59:59.999
59,0.1676,0.1808,0.1587,0.1712,12449086.66,2020-04-19 23:59:59.999
60,0.171,0.199,0.1636,0.1986,14913535.99,2020-04-26 23:59:59.999
