,Rank,Name,Symbol,Market Cap,Price,Date
0,1,BTCBitcoin,BTC,15698467116.52,966.73,2017-03-26
1,2,ETHEthereum,ETH,4553738355.33,50.52,2017-03-26
2,3,DASHDash,DASH,673067501.24,93.63,2017-03-26
3,4,XRPXRP,XRP,356889236.31,0.009545,2017-03-26
4,5,XMRMonero,XMR,278199250.36,19.61,2017-03-26
5,6,ETCEthereum Classic,ETC,208203057.12,2.31,2017-03-26
6,7,LTCLitecoin,LTC,204508708.4,4.06,2017-03-26
7,8,XEMNEM,XEM,121744737.95,0.01353,2017-03-26
8,9,REPAugur,REP,96066795.35,8.73,2017-03-26
9,10,MAIDMaidSafeCoin,MAID,63029992.23,0.1393,2017-03-26
10,11,DCRDecred,DCR,62499646.93,15.19,2017-03-26
11,12,ZECZcash,ZEC,57012540.24,59.93,2017-03-26
12,13,USDTTether,USDT,44951361.63,1.0,2017-03-26
13,14,GNTGolem,GNT,41434616.52,0.05053,2017-03-26
14,15,STEEMSteem,STEEM,39828200.23,0.1691,2017-03-26
15,16,ICNIconomi,ICN,36048722.51,0.4144,2017-03-26
16,17,WAVESWaves,WAVES,31884905.7,0.3188,2017-03-26
17,18,PIVXPIVX,PIVX,31020381.4,0.5897,2017-03-26
18,19,FCTFactom,FCT,30994496.39,3.54,2017-03-26
19,20,DOGEDogecoin,DOGE,29578988.21,0.0002721,2017-03-26
