,Rank,Name,Symbol,Market Cap,Price,Date,
0,1,Bitcoin,BTC,816211499220.99,43113.88,16/01/2022,
1,2,Ethereum,ETH,399392136112.46,3350.92,16/01/2022,
2,3,BNB,BNB,83138350006.05,498.43,16/01/2022,
3,4,Tether,USDT,78432253976.70,1.00,16/01/2022,
4,5,Cardano,ADA,47180439513.25,1.41,16/01/2022,
5,6,Solana,SOL,46428403266.75,147.86,16/01/2022,
6,7,USD Coin,USDC,45434277767.95,1.00,16/01/2022,
7,8,XRP,XRP,37127364883.23,0.78,16/01/2022,
8,9,Terra,LUNA,31185198011.78,86.96,16/01/2022,
9,10,Polkadot,DOT,27321509197.88,27.67,16/01/2022,
10,11,Dogecoin,DOGE,23506016725.99,0.18,16/01/2022,
11,12,Avalanche,AVAX,22539370537.18,92.24,16/01/2022,
12,13,Polygon,MATIC,17037734958.05,2.33,16/01/2022,
13,14,Shiba Inu,SHIB,16757400981.50,0.00,16/01/2022,
14,15,Binance USD,BUSD,14440486040.68,1.00,16/01/2022,
15,16,NEAR Protocol,NEAR,12341069954.78,20.08,16/01/2022,
16,17,Chainlink,LINK,11933568002.75,25.55,16/01/2022,
17,18,Crypto.com Coin,CRO,11718174784.27,0.46,16/01/2022,
18,19,Wrapped Bitcoin,WBTC,11520225391.60,43166.19,16/01/2022,
19,20,Uniswap,UNI,11169605695.54,17.81,16/01/2022,
